num_radicado,tipo_proceso,fecha_radicado,cedula_parte,nombre_parte,municipio,departamento,estado_proceso,rol_parte,relacion_familiar,fecha_ultima_actuacion,fecha_cierre,duracion_dias,tipo_medida
76001-CF-2024-00012,ALIMENTOS,2024-01-15,1144200001,MARIA FERNANDA LOPEZ GIRALDO,CALI,VALLE DEL CAUCA,ACTIVO,SOLICITANTE,CONYUGE,2024-03-10,,55,
76001-CF-2024-00012,ALIMENTOS,2024-01-15,1144200002,CARLOS ANDRES MUÑOZ PEREA,CALI,VALLE DEL CAUCA,ACTIVO,DENUNCIADO,CONYUGE,2024-03-10,,55,
76001-CF-2024-00045,VIOLENCIA INTRAFAMILIAR,2024-02-03,1144200001,MARIA FERNANDA LOPEZ GIRALDO,CALI,VALLE DEL CAUCA,ACTIVO,VICTIMA,CONYUGE,2024-04-15,,71,
76001-CF-2024-00045,VIOLENCIA INTRAFAMILIAR,2024-02-03,1144200002,CARLOS ANDRES MUÑOZ PEREA,CALI,VALLE DEL CAUCA,ACTIVO,DENUNCIADO,CONYUGE,2024-04-15,,71,
76109-CF-2024-00008,ALIMENTOS,2024-01-22,3178500010,LUZ DARY CAICEDO MINA,BUENAVENTURA,VALLE DEL CAUCA,CONCILIADO,SOLICITANTE,MADRE,2024-03-05,2024-03-05,43,
76109-CF-2024-00008,ALIMENTOS,2024-01-22,3178500011,JHON EVER RIASCOS VALENCIA,BUENAVENTURA,VALLE DEL CAUCA,CONCILIADO,DENUNCIADO,PADRE,2024-03-05,2024-03-05,43,
76109-CF-2024-00033,SUSTANCIAS PSICOACTIVAS,2024-03-10,3178500012,KEVIN STIVEN RIASCOS CAICEDO,BUENAVENTURA,VALLE DEL CAUCA,EN SEGUIMIENTO,NNA,HIJO,2024-06-20,,102,
76109-CF-2024-00033,SUSTANCIAS PSICOACTIVAS,2024-03-10,3178500010,LUZ DARY CAICEDO MINA,BUENAVENTURA,VALLE DEL CAUCA,EN SEGUIMIENTO,SOLICITANTE,MADRE,2024-06-20,,102,
76520-CF-2024-00003,ALIMENTOS,2024-02-14,6610300020,SANDRA MILENA ORTIZ BEDOYA,PALMIRA,VALLE DEL CAUCA,ACTIVO,SOLICITANTE,MADRE,2024-05-10,,86,
76520-CF-2024-00003,ALIMENTOS,2024-02-14,6610300021,DIEGO ARMANDO VALENCIA LOZANO,PALMIRA,VALLE DEL CAUCA,ACTIVO,DENUNCIADO,PADRE,2024-05-10,,86,
76520-CF-2024-00019,VIOLENCIA INTRAFAMILIAR,2024-04-01,6610300020,SANDRA MILENA ORTIZ BEDOYA,PALMIRA,VALLE DEL CAUCA,MEDIDA DE PROTECCION,VICTIMA,CONYUGE,2024-04-20,,19,RESTRICCION_ACERCAMIENTO
76520-CF-2024-00019,VIOLENCIA INTRAFAMILIAR,2024-04-01,6610300021,DIEGO ARMANDO VALENCIA LOZANO,PALMIRA,VALLE DEL CAUCA,MEDIDA DE PROTECCION,DENUNCIADO,CONYUGE,2024-04-20,,19,RESTRICCION_ACERCAMIENTO
76520-CF-2024-00027,SUSTANCIAS PSICOACTIVAS,2024-05-20,6610300022,BRAYAN STIVEN VALENCIA ORTIZ,PALMIRA,VALLE DEL CAUCA,CERRADO,NNA,HIJO,2024-07-15,2024-07-15,56,
76520-CF-2024-00027,SUSTANCIAS PSICOACTIVAS,2024-05-20,6610300020,SANDRA MILENA ORTIZ BEDOYA,PALMIRA,VALLE DEL CAUCA,CERRADO,SOLICITANTE,MADRE,2024-07-15,2024-07-15,56,
76001-CF-2024-00078,ALIMENTOS,2024-03-08,1144200030,YULIANA ANDREA HURTADO CAMPO,CALI,VALLE DEL CAUCA,CONCILIADO,SOLICITANTE,MADRE,2024-04-25,2024-04-25,48,
76001-CF-2024-00078,ALIMENTOS,2024-03-08,1144200031,ROBINSON ALEXIS MENA CORDOBA,CALI,VALLE DEL CAUCA,CONCILIADO,DENUNCIADO,PADRE,2024-04-25,2024-04-25,48,
76001-CF-2024-00091,VIOLENCIA INTRAFAMILIAR,2024-04-12,1144200040,PAOLA ANDREA RAMIREZ SOTO,CALI,VALLE DEL CAUCA,ACTIVO,VICTIMA,CONYUGE,2024-06-01,,50,
76001-CF-2024-00091,VIOLENCIA INTRAFAMILIAR,2024-04-12,1144200041,EVER JOSE MOSQUERA PALACIOS,CALI,VALLE DEL CAUCA,ACTIVO,DENUNCIADO,CONYUGE,2024-06-01,,50,
76001-CF-2024-00102,VIOLENCIA INTRAFAMILIAR,2024-05-05,1144200050,DIANA MARCELA GONZALEZ RUIZ,CALI,VALLE DEL CAUCA,CERRADO,VICTIMA,CONYUGE,2024-07-10,2024-07-10,66,
76001-CF-2024-00102,VIOLENCIA INTRAFAMILIAR,2024-05-05,1144200051,LUIS ALBERTO CASTILLO MARIN,CALI,VALLE DEL CAUCA,CERRADO,DENUNCIADO,CONYUGE,2024-07-10,2024-07-10,66,
76109-CF-2024-00051,SUSTANCIAS PSICOACTIVAS,2024-07-02,3178500080,YEISON FABIAN ANGULO MINA,BUENAVENTURA,VALLE DEL CAUCA,EN SEGUIMIENTO,NNA,HIJO,2024-08-15,,44,
76109-CF-2024-00051,SUSTANCIAS PSICOACTIVAS,2024-07-02,3178500010,LUZ DARY CAICEDO MINA,BUENAVENTURA,VALLE DEL CAUCA,EN SEGUIMIENTO,SOLICITANTE,OTRO,2024-08-15,,44,
76001-CF-2024-00115,ALIMENTOS,2024-06-20,1144200040,PAOLA ANDREA RAMIREZ SOTO,CALI,VALLE DEL CAUCA,ACTIVO,SOLICITANTE,MADRE,2024-08-05,,46,
